country,year,imports_usd,exports_usd,currency,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate
Ghana,2015,14687476669.332,13755564937.275,GHS,258,3.748113178294574,3.2024,3.8138,19.09193105171123,0.9285636030215076,3.2008,4.373
Ghana,2016,12855057026.135,12031925300.375,GHS,259,3.9391814671814673,3.8138,4.2491,11.413812994913219,0.45908861656390615,3.7976,4.261
Ghana,2017,,,GHS,257,4.391152140077821,4.2586,4.5065,5.821161884187287,0.43993664524351345,4.1511,4.6457
Ghana,2018,11880470763.49,17099588399.661,GHS,259,4.674253667953668,4.523,4.8377,6.957771390669909,0.36645179470103306,4.4071,4.9022
Ghana,2019,10439795453.291,16768275189.922,GHS,261,5.317749808429119,4.8643,5.6641,16.44224246037458,0.8847017552464878,4.8539,5.678
Ghana,2020,,,GHS,262,5.730274427480916,5.6601,5.8794,3.8744898500026492,0.6277633386110552,5.3008,5.9187
Ghana,2021,17848192165.582,14823232488.086,GHS,260,5.9117380769230765,5.8954,6.1354,4.070970587237488,0.38814952534290315,5.7369,6.1655
Ghana,2022,17962659788.548,17378757386.89,GHS,258,8.924343410852712,6.1445,9.6555,57.14053218325332,2.1001475310302484,6.1445,14.6806
Ghana,2023,16394367827.129,16874662286.131,GHS,256,11.58558046875,10.0223,11.9614,19.347854284944567,1.5588359802062184,10.0223,12.8662
Ghana,2024,17529789635.643,20643931879.07,GHS,259,14.41182277992278,11.9639,14.5909,21.95772281613855,0.5425985554166558,11.9412,16.3546
Ghana,2025,20166910856.186,31975161923.111,GHS,258,12.566572480620154,14.5909,10.4701,-28.24226058707824,0.9697622813361201,10.2383,15.6824
Nigeria,2015,33830878655.195,48433351369.653,NGN,258,197.28949612403102,182.94,198.61,8.565649939871012,0.622949934349257,178.32,203.27
Nigeria,2016,35194301007.0,32883045467.0,NGN,259,256.42822393822394,198.6,307.65,54.90936555891237,1.8158057549251145,197.27,330.42
