country,year,remittances_usd
Ghana,2015,4982442361.78623
Ghana,2016,2979934204.38383
Ghana,2017,3536410000.0
Ghana,2018,3520566623.36831
Ghana,2019,4053694728.81048
Ghana,2020,4291956800.55746
Ghana,2021,1955950652.58157
Ghana,2022,2128085082.98706
Ghana,2023,2454335867.96485
Ghana,2024,3027416789.17939
Ghana,2025,2422884615.85255
Kenya,2015,1569267849.83759
Kenya,2016,1744639174.70127
Kenya,2017,1962273106.47771
Kenya,2018,2720366061.45974
Kenya,2019,2838192215.41576
Kenya,2020,3107932253.39579
Kenya,2021,3770089638.54768
Kenya,2022,4059710201.31201
Kenya,2023,4227611606.30686
Kenya,2024,4999830478.63973
Kenya,2025,
Nigeria,2015,20626046924.0079
Nigeria,2016,19697938003.8912
Nigeria,2017,22037016831.8378
Nigeria,2018,24311022415.6069
Nigeria,2019,23809281401.0144
Nigeria,2020,17207547305.9954
Nigeria,2021,19483402058.9105
Nigeria,2022,20127614150.5134
Nigeria,2023,19549549365.0158
Nigeria,2024,22126757545.065
Nigeria,2025,22789097830.3714
South_Africa,2015,825253479.87049
South_Africa,2016,755434048.949775
South_Africa,2017,873861160.607838
South_Africa,2018,929043381.126847
South_Africa,2019,890059293.728209
South_Africa,2020,810881603.952635
South_Africa,2021,926650843.653293
South_Africa,2022,872855576.231191
South_Africa,2023,803385605.182583
South_Africa,2024,855374671.121348
South_Africa,2025,1004741847.38267
Tanzania,2015,387768775.189672
Tanzania,2016,402531458.346674
Tanzania,2017,402634721.769049
Tanzania,2018,412910078.031612
Tanzania,2019,433499813.406953
Tanzania,2020,326160727.762652
Tanzania,2021,558427114.020975
Tanzania,2022,703752774.724637
Tanzania,2023,1237899448.64826
Tanzania,2024,1123259919.1452
Tanzania,2025,
Uganda,2015,902157540.45858
Uganda,2016,1146050427.30299
Uganda,2017,1165739410.77889
Uganda,2018,1338053924.78985
Uganda,2019,1424508662.67091
Uganda,2020,1061902500.31817
Uganda,2021,1155212579.46723
Uganda,2022,1250376025.66842
Uganda,2023,1513799456.22875
Uganda,2024,1429424668.61517
Uganda,2025,
