country,year,imports_usd,exports_usd
Ghana,2015,14687476669.332,13755564937.275
Ghana,2016,12855057026.135,12031925300.375
Ghana,2017,,
Ghana,2018,11880470763.49,17099588399.661
Ghana,2019,10439795453.291,16768275189.922
Ghana,2020,,
Ghana,2021,17848192165.582,14823232488.086
Ghana,2022,17962659788.548,17378757386.89
Ghana,2023,16394367827.129,16874662286.131
Ghana,2024,17529789635.643,20643931879.07
Ghana,2025,20166910856.186,31975161923.111
Nigeria,2015,33830878655.195,48433351369.653
Nigeria,2016,35194301007.0,32883045467.0
Nigeria,2017,31270090265.079,44466366757.115
Nigeria,2018,43011519138.034,62399696340.418
Nigeria,2019,47369076912.28,53617812190.3
Nigeria,2020,55455401890.467,34900471091.314
Nigeria,2021,52068286983.145,47231712930.364
Nigeria,2022,60671382373.661,63416711381.605
Nigeria,2023,65047894217.899,65129007547.867
Nigeria,2024,40967693021.417,52361700787.283
Nigeria,2025,44354013636.384,56063265928.563
Kenya,2015,16058041798.93,5906821405.92
Kenya,2016,14113435915.77,5697559391.24
Kenya,2017,16690197046.812,5747414819.789
Kenya,2018,17376721272.03,6050420682.217
Kenya,2019,17210001018.47,5836255973.92
Kenya,2020,15407437140.087,6021954588.7
Kenya,2021,19594117729.988,6751366221.034
Kenya,2022,21100881275.088,7371116494.654
Kenya,2023,18604452437.681,7158109332.771
Kenya,2024,20203122341.75,8255797029.967
Kenya,2025,,
Uganda,2015,5528117117.0,2267008685.0
Uganda,2016,4829459128.0,2482313415.0
Uganda,2017,5595903639.36,2901465679.76
Uganda,2018,6729436499.55,3087363576.21
Uganda,2019,7696028888.77,3563784978.21
Uganda,2020,8250512382.0,4148958329.0
Uganda,2021,9086036680.36,3965317044.55
Uganda,2022,9747768913.48,3577444401.67
Uganda,2023,11780107481.99,6305023286.34
Uganda,2024,13832924772.85,8039344375.93
Uganda,2025,,
Tanzania,2015,14705968733.0,5854230521.0
Tanzania,2016,7876086602.0,4741924583.0
Tanzania,2017,7765411242.0,4178109062.771
Tanzania,2018,8553677024.139,3669212438.537
Tanzania,2019,9054671035.44,5003764881.184
Tanzania,2020,8516523405.047,6076410130.381
Tanzania,2021,10873264133.534,6390862886.744
Tanzania,2022,15654447273.284,6824846110.904
Tanzania,2023,15117482286.806,7274328787.87
Tanzania,2024,15684503481.074,8702027903.943
Tanzania,2025,,
South_Africa,2015,85267207335.952,80035689874.235
South_Africa,2016,75149135298.341,75912597473.476
South_Africa,2017,83086880674.466,88233218989.624
South_Africa,2018,92636961890.609,93677434344.6
South_Africa,2019,88037490927.971,89395988333.925
South_Africa,2020,68943156587.84,85226766450.055
South_Africa,2021,93439563371.935,121321278845.567
South_Africa,2022,111880322479.528,121616282067.877
South_Africa,2023,107122724129.389,110607523884.529
South_Africa,2024,101178542032.123,110042333524.38
South_Africa,2025,104948634605.015,116380900756.916
